Series_reference,Period,Data_value,STATUS,UNITS
MFGQ.SFA1CA,1992.12,2493.37,F,Dollars
MFGQ.SFA1CA,1993.03,3209.2,F,Dollars
MFGQ.SFA1CA,1993.06,2780.17,F,Dollars
MFGQ.SFA1CA,1993.09,1933.01,F,Dollars
MFGQ.SFA1CA,1993.12,2692.92,F,Dollars
MFGQ.SFA1CA,1994.03,3079.61,F,Dollars
MFGQ.SFA1CA,1994.06,2668.49,F,Dollars
MFGQ.SFA1CA,1994.09,1812.22,F,Dollars
MFGQ.SFA1CA,1994.12,2916.07,F,Dollars
MFGQ.SFA1CA,1995.03,3119.33,F,Dollars
MFGQ.SFA1CA,1995.06,2674.09,F,Dollars
MFGQ.SFA1CA,1995.09,2023.88,F,Dollars
MFGQ.SFA1CA,1995.12,3087.45,F,Dollars
MFGQ.SFA1CA,1996.03,3698.42,F,Dollars
MFGQ.SFA1CA,1996.06,3008.7,F,Dollars
MFGQ.SFA1CA,1996.09,1893.31,F,Dollars
MFGQ.SFA1CA,1996.12,3176.28,F,Dollars
MFGQ.SFA1CA,1997.03,3543.9,F,Dollars
MFGQ.SFA1CA,1997.06,3062.11,F,Dollars
MFGQ.SFA1CA,1997.09,1788.95,F,Dollars
MFGQ.SFA1CA,1997.12,3465.57,F,Dollars
MFGQ.SFA1CA,1998.03,3611.65,F,Dollars
MFGQ.SFA1CA,1998.06,3222.28,F,Dollars
MFGQ.SFA1CA,1998.09,1883.69,F,Dollars
MFGQ.SFA1CA,1998.12,3198.15,F,Dollars
MFGQ.SFA1CA,1999.03,3290.11,F,Dollars
MFGQ.SFA1CA,1999.06,2841.38,F,Dollars
MFGQ.SFA1CA,1999.09,2002.75,F,Dollars
MFGQ.SFA1CA,1999.12,3572.96,F,Dollars
MFGQ.SFA1CA,2000.03,3968.49,F,Dollars
MFGQ.SFA1CA,2000.06,3357.09,F,Dollars
MFGQ.SFA1CA,2000.09,2433.49,F,Dollars
MFGQ.SFA1CA,2000.12,4639.95,F,Dollars
MFGQ.SFA1CA,2001.03,5013.56,F,Dollars
MFGQ.SFA1CA,2001.06,4252.14,F,Dollars
MFGQ.SFA1CA,2001.09,2692.4,F,Dollars
MFGQ.SFA1CA,2001.12,4820.07,F,Dollars
MFGQ.SFA1CA,2002.03,4921.01,F,Dollars
MFGQ.SFA1CA,2002.06,4082.9,F,Dollars
MFGQ.SFA1CA,2002.09,3749.68,F,Dollars
MFGQ.SFA1CA,2002.12,3983.15,F,Dollars
MFGQ.SFA1CA,2003.03,4258.8,F,Dollars
MFGQ.SFA1CA,2003.06,4414.43,F,Dollars
MFGQ.SFA1CA,2003.09,3346.85,F,Dollars
MFGQ.SFA1CA,2003.12,4038.86,F,Dollars
MFGQ.SFA1CA,2004.03,4527.85,F,Dollars
MFGQ.SFA1CA,2004.06,4813.49,F,Dollars
